pr,year,month,iso
9.0765,1941,4,DZA
8.73701,1941,5,DZA
4.40804,1941,6,DZA
3.8137,1941,7,DZA
1.3436,1941,8,DZA
7.23967,1941,9,DZA
8.76255,1941,10,DZA
9.82277,1941,11,DZA
8.32499,1941,12,DZA
9.90635,1942,1,DZA
9.79171,1942,2,DZA
6.13328,1942,3,DZA
2.17797,1942,4,DZA
1.75876,1942,5,DZA
0.86507,1942,6,DZA
0.73777,1942,7,DZA
5.55476,1942,8,DZA
5.35023,1942,9,DZA
3.67523,1942,10,DZA
12.427,1942,11,DZA
22.597,1942,12,DZA
4.60036,1943,1,DZA
10.2831,1943,2,DZA
15.537,1943,3,DZA
15.9575,1943,4,DZA
6.4679,1943,5,DZA
2.45979,1943,6,DZA
3.1285,1943,7,DZA
3.56371,1943,8,DZA
6.72064,1943,9,DZA
11.7551,1943,10,DZA
8.4518,1943,11,DZA
20.7456,1943,12,DZA
0.98947,1944,1,DZA
8.82469,1944,2,DZA
4.86387,1944,3,DZA
5.39838,1944,4,DZA
1.10823,1944,5,DZA
2.46499,1944,6,DZA
1.37378,1944,7,DZA
1.77461,1944,8,DZA
8.61025,1944,9,DZA
6.94606,1944,10,DZA
7.483,1944,11,DZA
8.80391,1944,12,DZA
10.2586,1945,1,DZA
2.58197,1945,2,DZA
2.21891,1945,3,DZA
2.28666,1945,4,DZA
7.32326,1945,5,DZA
3.39564,1945,6,DZA
2.10846,1945,7,DZA
2.36115,1945,8,DZA
1.53385,1945,9,DZA
5.46874,1945,10,DZA
10.0859,1945,11,DZA
5.57146,1945,12,DZA
23.1683,1946,1,DZA
5.0111,1946,2,DZA
4.31496,1946,3,DZA
16.3678,1946,4,DZA
4.4101,1946,5,DZA
0.85955,1946,6,DZA
1.0127,1946,7,DZA
2.46483,1946,8,DZA
2.93941,1946,9,DZA
1.31444,1946,10,DZA
6.26516,1946,11,DZA
11.606,1946,12,DZA
3.83391,1947,1,DZA
6.55576,1947,2,DZA
1.33895,1947,3,DZA
2.72274,1947,4,DZA
4.55675,1947,5,DZA
3.20761,1947,6,DZA
1.92203,1947,7,DZA
6.71939,1947,8,DZA
3.09414,1947,9,DZA
4.71962,1947,10,DZA
5.35437,1947,11,DZA
11.5077,1947,12,DZA
8.95226,1948,1,DZA
6.48487,1948,2,DZA
6.91553,1948,3,DZA
9.36117,1948,4,DZA
6.33853,1948,5,DZA
4.7793,1948,6,DZA
1.14921,1948,7,DZA
1.42314,1948,8,DZA
3.96454,1948,9,DZA
16.5529,1948,10,DZA
1.05096,1948,11,DZA
10.2806,1948,12,DZA
11.1122,1949,1,DZA
7.82022,1949,2,DZA
15.3702,1949,3,DZA
15.9133,1949,4,DZA
10.4177,1949,5,DZA
1.93697,1949,6,DZA
1.18299,1949,7,DZA
2.18919,1949,8,DZA
1.01745,1949,9,DZA
1.74394,1949,10,DZA
5.0278,1949,11,DZA
13.9862,1949,12,DZA
10.9165,1950,1,DZA
4.42459,1950,2,DZA
6.63061,1950,3,DZA
7.0884,1950,4,DZA
7.7759,1950,5,DZA
2.57163,1950,6,DZA
1.34011,1950,7,DZA
7.28238,1950,8,DZA
12.2332,1950,9,DZA
14.092,1950,10,DZA
1.85471,1950,11,DZA
12.4844,1950,12,DZA
11.4043,1951,1,DZA
8.26155,1951,2,DZA
10.1693,1951,3,DZA
2.05771,1951,4,DZA
6.99603,1951,5,DZA
3.34669,1951,6,DZA
1.89404,1951,7,DZA
5.52637,1951,8,DZA
8.03378,1951,9,DZA
21.9266,1951,10,DZA
13.7297,1951,11,DZA
14.548,1951,12,DZA
16.5745,1952,1,DZA
6.26449,1952,2,DZA
4.00317,1952,3,DZA
16.4946,1952,4,DZA
12.4105,1952,5,DZA
1.88682,1952,6,DZA
3.55282,1952,7,DZA
5.34202,1952,8,DZA
11.7704,1952,9,DZA
4.03191,1952,10,DZA
6.88279,1952,11,DZA
5.30156,1952,12,DZA
11.5741,1953,1,DZA
5.46167,1953,2,DZA
21.8231,1953,3,DZA
4.37403,1953,4,DZA
6.38161,1953,5,DZA
8.1042,1953,6,DZA
2.46034,1953,7,DZA
3.25951,1953,8,DZA
7.38563,1953,9,DZA
12.4021,1953,10,DZA
11.3249,1953,11,DZA
11.107,1953,12,DZA
9.09937,1954,1,DZA
11.7263,1954,2,DZA
9.90157,1954,3,DZA
13.616,1954,4,DZA
5.78694,1954,5,DZA
4.43928,1954,6,DZA
1.83678,1954,7,DZA
2.54864,1954,8,DZA
0.7415,1954,9,DZA
5.59098,1954,10,DZA
9.94292,1954,11,DZA
13.8124,1954,12,DZA
10.8348,1955,1,DZA
5.22499,1955,2,DZA
7.53536,1955,3,DZA
13.3047,1955,4,DZA
4.36946,1955,5,DZA
6.16572,1955,6,DZA
1.20761,1955,7,DZA
3.34437,1955,8,DZA
6.80899,1955,9,DZA
12.4772,1955,10,DZA
5.20178,1955,11,DZA
14.6933,1955,12,DZA
10.5227,1956,1,DZA
17.6988,1956,2,DZA
13.2386,1956,3,DZA
5.506,1956,4,DZA
4.48483,1956,5,DZA
1.5195,1956,6,DZA
0.92926,1956,7,DZA
4.77878,1956,8,DZA
4.91532,1956,9,DZA
6.30763,1956,10,DZA
